macAddress,id,x,y
404CCA5F9504,1,-1.65,0.93
404CCA5F8BE8,2,-1.05,0.93
404CCA5F9C58,3,-0.45,0.93
404CCA5F8AA4,4,0.15,0.93
404CCA5F92F8,5,0.75,0.93
404CCA5FB224,6,1.35,0.93
404CCA5F9E78,7,1.95,0.93
404CCA5F91C0,8,-1.95,1.85
404CCA5F93BC,9,-1.35,1.85
404CCA5F97B0,10,-0.75,1.85
